species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
,,39.47,14.28,189.33,4778.58,
,,41.18,14.13,186.77,4127.93,
,,51.28,16.48,184.37,6243.26,
,,41.4,16.1,223.29,5036.23,
,,46.86,20.16,190.29,2792.85,
,,57.01,18.96,225.48,3157.41,
,,50.96,21.02,196.96,5856.43,
,,53.69,20.15,176.94,3063.07,
,,48.13,20.88,196.36,4149.38,
,,44.53,14.95,182.99,3861.59,
,,41.54,16.77,194.22,4329.85,
,,44.54,16.6,226.69,4151.42,
,,47.73,19.83,228.99,5381.11,
,,42.03,21.06,224.6,2741.83,
,,58.38,20.28,214.65,5975.5,
,,48.02,21.13,184.02,3634.78,
,,58.42,15.33,211.08,3912.59,
,,57.1,17.84,204.95,4007.3,
,,44.6,16.37,228.82,6094.44,
,,58.64,14.76,207.16,5480.62,
,,35.19,20.83,172.65,6107.22,
,,35,13.59,219.02,4597.19,
,,36.15,16.54,218.31,3414.23,
,,37.01,20.05,200.14,5679.19,
,,42.93,21.28,196.18,3886.91,
,,42.71,16.19,227.09,4691.08,
,,36.52,14.35,185.34,5354.2,
,,58.37,17.21,217.29,6103.32,
,,48.5,20.04,192.19,3175.61,
,,42.54,14.52,219.95,3494.73,
,,59.54,16.06,181.15,4132.21,
,,38.87,20.15,225.1,3925.03,
,,41.83,16.27,176.48,4948.01,
,,43.61,14.78,182.1,3821.21,
,,53.01,18.28,219.71,5170.58,
,,45.9,17.74,209.68,4174.58,
,,44.51,20.84,191.96,6092.24,
,,36.63,15.92,207.76,3096.54,
,,56.26,20.66,202.22,2770.21,
,,51.96,18.78,211.71,5453.99,
,,42.74,16.06,178.72,6181.25,
,,35.36,18.67,225.27,3505.1,
,,41.28,16.43,216.45,4936.68,
,,46.75,16.44,202.5,4150.52,
,,34.03,16.74,230.74,3862.23,
,,41.57,16.25,172.31,5269.84,
,,45.54,16.69,230.55,5807.4,
,,33.4,14.79,203.47,3123.65,
,,38.27,18.39,200.41,5491.16,
,,33.51,20,230.32,5664.42,
,,52.53,21.29,189.82,3164.92,
,,52.79,16.66,218.82,2879.21,
,,55.7,20.95,197.21,5212.97,
,,37.39,15.37,184.45,6291.54,
,,40.78,13.38,177.91,5140.15,
,,59.56,15.66,188.03,3985.07,
,,36.47,17.01,230.21,5068.83,
,,35.98,20.59,219.76,2903.23,
,,47.57,14.77,189.52,4254.75,
,,32.31,16.37,192.45,3422.58,
,,46.03,19.61,214.04,3484.4,
,,36.86,14.93,197.24,4418.02,
,,36.15,15.7,201.36,4316.96,
,,53.52,15.65,172.63,3970.61,
,,43.12,16.86,211.82,5580.2,
,,34.2,18.33,204.61,5389.43,
,,42.68,13.93,184.5,5243.03,
,,53.43,14.57,187.73,5603.13,
,,51.19,20.41,215.43,6089.35,
,,40.87,16.69,223.85,4361.45,
,,36.65,19.57,218.39,4889.4,
,,53.8,15.21,191.77,5594.52,
,,41.87,15.29,230.47,5977.95,
,,38.32,16.94,186.35,3897.48,
,,56.65,19.48,214.45,5857.71,
,,41.35,21.33,228.51,6290.1,
,,57.71,16.02,212.02,3361.55,
,,40.37,16.93,197.72,5798.97,
,,48.63,15.53,211.05,4866.57,
,,41.66,17.3,178.4,3887.62,
,,52.4,15.1,183.02,5230.97,
,,34.19,16.94,183.03,4413.96,
,,57.93,13.56,200.75,5832.48,
,,51.87,18.76,203.43,5756.56,
,,58.72,21.03,201.38,5188.71,
,,50.66,18.07,213.68,4008.31,
,,49.05,17.66,230.04,3896.64,
,,56.82,14.98,206.56,5530.77,
,,47.35,16.13,179.42,4960.4,
,,32.36,20.53,223.68,3875.58,
,,52.09,14.18,199.69,3720.66,
,,35.48,13.38,215.84,4292.74,
,,37.14,21.46,180.64,3023.87,
,,36.12,14.19,215.1,3091.76,
,,35.15,17.34,183.44,5374.11,
,,51.85,16.92,230.56,2900.42,
,,40.44,19.54,216.57,3636.42,
,,43.69,16.17,192.74,4112.05,
,,48.9,15.02,179.08,5899.83,
,,42.52,20.65,184.56,5644.61,
,,33.4,14.71,189.15,2772.62,
,,41.56,13.96,200.37,4427.48,
,,37.3,21.29,223.48,3440.46,
,,50.83,15.12,216.24,4795.22,
,,40.76,14.95,216.74,6207.59,
,,51.27,15.5,209.14,5234.94,
,,38.91,14.05,203.22,6265.99,
,,36.73,16.53,209.02,5227.08,
,,56.16,13.97,196.44,5309.97,
,,38.37,15.85,209.64,6088.3,
,,43.67,14.86,183.29,3472.97,
,,56.11,19.15,225.67,3936.11,
,,50.93,20.17,230.17,4764.65,
,,52.07,18.03,212.3,4329.82,
,,39.31,15.9,214.2,3224.06,
,,55.28,13.7,186.01,3845.4,
,,34.58,15.03,225.95,3298.41,
,,40.76,19.04,178.87,3891.55,
,,37.95,20.03,222.6,3003.77,
,,57.64,16.26,183.33,5711.5,
,,37.04,13.5,173.97,5338.04,
,,33.5,16.95,206.3,5258.35,
,,46.42,16.03,205.61,4483.32,
,,57.83,14.97,172.81,5906.99,
,,40.41,19.34,197.23,6109.81,
,,54.57,19.16,176.08,3714.46,
,,38.86,16.28,192.7,5609.84,
,,56.94,21.13,212.35,6287.34,
,,58.15,18.08,226.64,3048.82,
,,49.7,18.76,197.13,4017.34,
,,41.35,16.86,214.31,4832.58,
,,54.65,17.08,225.6,5828.76,
,,40.79,15.16,177.36,5790.39,
,,33.24,19.32,173.96,5477.3,
,,40.2,20.77,194.83,4317.85,
,,48.43,20.57,181.32,4801.43,
,,37.91,20.95,227.75,6049.64,
,,51.66,14.33,227.72,6051.74,
,,58.83,15.16,229.63,3386.54,
,,46.27,21.48,216.78,4865,
,,53.36,20.9,172.41,3935.99,
,,42.6,18.11,195.56,2972.68,
,,50.03,19.48,218.74,6209.07,
,,52.48,13.75,223.79,5262.55,
,,48.06,16.4,198.41,4365.12,
,,36.55,16.1,211.41,2972.14,
,,39.18,16.14,176.69,3364.65,
,,56.59,14.76,219.36,6090.53,
,,34.95,21.43,213.53,2783.73,
,,38.22,18.04,172.97,3143.51,
,,54.77,14.26,209.3,3779.6,
,,35.73,20.63,228.2,3216.63,
,,39.4,19.22,188.13,2785.48,
,,56.97,13.5,224.14,5831.79,
,,41.98,21.34,211.8,3667.34,
,,53.88,18.01,182.09,4049.27,
,,46.43,14.25,188.72,2807.65,
,,42.57,17.54,210.14,4250.4,
,,37.59,15.6,209.23,5754.87,
,,40.97,14.66,226.09,3685.77,
,,43.21,18.25,177.72,3612.16,
,,46.84,20,199.37,5570.71,
,,50.59,15.46,228.85,5028.58,
,,48.11,20.37,195.86,3640.44,
,,34.73,19.42,223.88,5273.15,
,,41.35,21.02,213.84,2725.89,
,,42.01,17.04,210.97,6129.45,
,,44.56,14.94,195.43,4980.88,
,,59.55,17.94,183.02,3239.59,
,,59.19,14.46,172.99,3827.78,
,,33.65,21.34,197.67,6030.16,
,,34.7,15.94,172.04,2701.88,
,,55.69,13.38,206.16,3226.93,
,,33.63,20.67,227.59,5152.98,
,,57.5,21.27,173.13,2922.7,
,,58.57,16.83,190.84,5131.19,
,,36.38,19.44,199.45,3059.85,
,,50.9,15.94,207.07,4174.95,
,,39.81,20.36,201.65,6164.01,
,,58.11,15.54,196.75,6199.58,
,,34.27,13.23,193.13,3842.6,
,,43.29,15.87,192.65,4057.7,
,,33.76,16.22,200.12,6294.8,
,,40.39,20.27,229.71,5589.21,
,,53.25,20.24,186.76,6139.49,
,,57.42,16.97,204.4,3516.25,
,,33.1,13.98,223.57,4918.75,
,,34.25,15.39,191.43,2786.19,
,,34.78,18.44,207.05,5763.66,
,,57.35,14.45,174.22,4039.06,
,,57.08,18.55,222.39,2822.48,
,,38.62,14.84,215.99,5716.94,
,,50.34,17.94,191.84,3797.62,
,,56.93,17.96,192.07,6270.47,
,,40.54,15.51,198.4,6260.49,
,,55.28,19.3,199.38,4515.64,
,,49.82,18.76,194.84,6157.61,
,,55.62,18.36,197.11,3216.46,
,,32.43,14.67,190.69,3808.23,
,,48.03,16.25,210.21,5926.49,
,,55.37,17.48,201.25,6172.58,
,,39.64,16.47,207.9,5104.4,
,,35.16,13.62,192.27,2964.67,
,,42.18,17.18,188.88,3254.6,
,,36.25,17.32,176.97,4800.91,
,,33.02,18.38,210.65,4848.2,
,,36.34,14.9,200.32,5903.58,
,,41.98,16.72,223.4,2716.04,
,,49.76,17.68,217.68,3982.94,
,,44.01,14.82,211.19,2889.62,
,,52.11,20.16,206.48,3113.95,
,,42.52,15.4,230.77,6058.49,
,,58.27,20.78,216,5478.32,
,,53.38,17.54,197.63,3456.25,
,,32.61,20.77,174.81,6262.63,
,,42.8,18.53,215.87,4688.91,
,,55.66,13.29,187.32,4623.95,
,,49.96,15.98,199.74,2936.36,
,,58.52,17.85,201.02,5959.79,
,,35.54,20.92,222.36,5577.25,
,,36.33,15.28,209.23,2918.04,
,,54.19,17.56,207.19,5709.27,
,,57.76,13.42,190.19,4141.94,
,,51.88,19.61,208.32,5601.34,
,,52.38,15.4,190.53,5361.92,
,,47.62,19.18,173.85,3890.29,
,,34.76,15.01,184.95,5330.67,
,,34.06,14.87,185.73,5165.23,
,,43.45,19.66,207.36,2911.9,
,,47.26,19.19,218.95,6132.19,
,,50.59,20.75,175.1,2775.21,
,,48.48,16.16,182.94,3603.36,
,,42.39,13.21,211.31,4131.74,
,,33.82,15.88,176.3,4974.77,
,,33.16,16.87,207.83,4943.23,
,,40.23,13.46,174.51,3022.78,
,,49.3,16.72,206.95,3871.03,
,,58.06,19.48,223.49,5558.21,
,,55.06,17.6,172.18,4299.86,
,,47.27,16.62,199.56,2998.06,
,,50.72,14.6,188.12,4032,
,,41.61,18.64,179.53,3450.69,
,,42.08,20.06,202.75,3550.99,
,,56.15,17.61,229.67,5115.73,
,,44.74,13.62,173.45,5074.5,
,,44.6,17.58,215.74,6128.07,
,,46.32,15.12,175.27,5326.9,
,,51.63,16.95,222.57,5302.28,
,,36.19,16.26,215.52,5583.86,
,,54.49,17.27,189.69,4115.35,
,,36.86,15.79,214.69,5757.17,
,,55.29,14.14,198.24,3051.5,
,,59.12,18.93,204.39,5656.13,
,,43.03,15.49,173.13,4614.02,
,,37.77,18.75,192.65,6065.91,
,,49.77,16.4,186.26,3130.8,
,,36.85,15.81,192.51,5385.26,
,,34.16,20.42,217.85,5844.57,
,,38.83,15.03,175.77,5944.15,
,,51.61,21.02,195.51,4074.01,
,,33.64,13.34,185.24,3577.65,
,,37.62,19.81,198.2,4287.83,
,,57.27,19.88,213.96,4021.33,
,,54.47,18.04,204.4,4981.8,
,,45.79,20.38,195.87,5576.14,
,,41.53,15.55,191.93,4567.82,
,,52.92,14.29,183.5,6043.27,
,,58.95,18.14,212.89,2956.42,
,,45.87,16.46,173.51,3721.55,
,,34.05,19.93,200.03,3773.25,
,,54.6,13.98,226.94,2756.91,
,,37.51,21,212.27,3188.41,
,,54.91,17.02,199.59,5149.4,
,,34.82,15.83,201.05,4609.82,
,,39.9,17.06,214.44,3511.76,
,,47.54,17.09,178.29,3039.51,
,,45.09,20.73,173.02,4239.1,
,,53.15,20.66,183.85,5702.98,
,,38.57,14.43,207.33,5492.06,
,,35.97,17.44,203.74,6262.93,
,,41.76,14.72,200.47,4735.41,
,,33.22,14.76,177.2,5565.51,
,,52.83,15.9,230.02,3071.24,
,,50.68,19.78,199.94,3517.08,
,,53.78,21.46,207.34,5522.06,
,,49.93,16.67,216.31,4103.28,
,,49.92,16.44,197.35,2841.79,
,,47.54,21.21,172.1,5567.33,
,,49.6,19.64,208.27,4131.73,
,,36.73,14.47,213.6,5025.92,
,,57.03,17.35,226.66,2833.86,
,,50.02,19.9,230.24,3618.72,
,,43.51,19.53,204.27,3869.65,
,,49.9,17.64,229.35,4106.75,
,,43,17.55,189.07,3661.25,
,,45.01,18.18,228.95,5721.43,
,,54.45,13.72,184.92,5078.65,
,,53.53,18.41,220.37,2870.48,
,,47.33,21.38,183.37,3155.66,
,,35.46,20.3,179.34,3365.24,
,,58.15,15.92,199.39,4135.7,
,,45.72,16.5,219.33,4561.16,
,,56.43,16.15,222.58,4300.56,
,,54.22,21.2,220.45,4871.66,
,,33.85,15.3,195.58,3984.12,
,,51.58,14.73,195.36,3971.85,
,,47.94,16.56,183.42,5669.2,
,,39.12,15.56,176.6,3488.42,
,,43.06,18.37,195.79,5503.21,
,,45.38,20.94,186.27,2704.13,
,,42.91,14.98,215.01,5245.26,
,,40.6,16.82,218.59,4481.56,
,,47.02,14.06,222.82,4279.19,
,,51.33,13.89,176.25,5573.9,
,,54.52,16.49,205.98,3294.02,
,,37.35,18.22,181.53,5959.61,
,,48.77,18.05,218.19,5295.52,
,,41.38,18.24,176.91,6291,
,,49.52,18.12,201.04,5651.03,
,,55.15,14.96,185.27,5278.24,
,,55.06,16.14,180.57,3852.44,
,,38.9,18.78,189.79,5717.01,
,,54.96,17.53,197.42,4154.55,
,,55.75,18.62,223.06,4676.54,
,,59.25,16.9,190.52,4890.27,
,,41.71,19.11,175.21,6067.95,
,,41.29,15.52,201.38,4909.98,
,,50.78,21.23,216.05,3254.63,
,,45.05,16.21,210.66,4591.52,
,,32.41,15.74,189.52,4716.8,
,,43.01,20.04,180.48,3095.53,
,,53.86,14,175.4,3330.88,
,,34.45,15.38,200.48,5667.35,
,,43.83,18.5,213.98,4897.08,
,,41.41,17.67,230.66,3741.64,
,,38.98,18.26,228.76,3336.93,
,,40,16.1,194.3,3786.48,
,,38.76,13.55,197.82,3883.36,
,,37.56,13.51,191.55,5494.31,
,,40.38,20.2,205.37,3212.96,
,,48.34,20.12,172.47,5443.64,
,,32.56,15.07,224,3882.84,
,,38.54,17.83,200.8,4570.63,
,,32.97,20.4,208.88,4063.72,
,,43.18,16.15,213.36,2883.64,
,,46.2,17.61,211.73,4572.95,
,,47.53,14.17,227.82,6193.68,
,,33.82,13.46,218.42,5245.5,
,,34.54,13.29,175.95,3470.71,
,,43.31,21.42,203.79,6223.18,
,,37.24,15.8,182.15,6213.2,
,,34.54,16.97,218.29,4308.95,
,,59.01,14.42,208.97,5044.55,
,,45.85,21.22,208.3,5520.85,
,,53.81,17.34,176.48,4477.93,
,,49.7,21.24,225.73,3420.46,
,,53.41,17.65,204.6,5276.64,
,,44.95,18.32,212.69,6124.83,
,,37.84,20.11,182.93,5319.79,
,,43.79,18.99,213.8,5405.66,
,,58.82,21.45,187.13,5753.77,
,,58.2,17.53,198.47,5669.52,
,,48.79,18.08,214.1,5169.9,
,,47.45,15.85,208.46,4228.91,
,,36.7,20.63,210.23,5786.87,
,,57.39,15.16,221.74,5128.81,
,,37.38,20.44,204.54,5569.14,
,,40.37,15.05,208.03,4459.15,
,,47.57,19.76,188.64,3540.83,
,,45.2,20.89,208.16,5441.73,
,,57.28,17.73,229.57,5547.55,
,,40.39,17.67,221.67,4905.97,
,,58.46,20.84,183.66,5538.56,
,,56.63,18.4,194.18,3477.48,
,,40.94,19.08,187.56,5082.56,
,,53.82,18.03,225.08,3563.29,
,,49.53,20.81,224.39,4932.28,
,,33.04,17.87,180.8,6183.25,
,,55.97,16.25,194.42,3757.16,
,,51.8,19.79,175.85,3239.09,
,,56.75,14.59,212.56,2969.44,
,,46.49,13.97,199.59,5582.83,
,,43.76,20.79,208.93,4466.69,
,,42.68,17.7,179.44,5672.22,
,,46.65,20.91,213.24,3559.39,
,,51.13,13.23,198.29,4177.79,
,,49.21,20.46,199,3026.16,
,,34.63,14.38,173.89,3576.03,
,,41.95,18.04,187.93,3410.93,
,,42.7,18.98,209.75,4658.12,
,,53.35,15.92,221.63,4217.2,
,,36.22,20.95,176.98,3922.39,
,,45.73,13.6,198.69,2901.51,
,,51.76,18.96,182.97,5594.44,
,,39.66,13.47,198.14,3605.52,
,,55.16,15.05,215.36,3882.62,
,,49.48,13.83,219.99,6260.29,
,,35.4,18.99,211.72,4871.96,
,,58.1,15.87,178.46,2983.36,
,,54.13,19.11,198.24,2885.53,
,,54.9,15.77,199.09,3293.03,
,,37.08,21.29,195.99,5026.81,
,,48.2,13.44,203.07,4490.56,
,,46.27,16.12,197.79,6171.24,
,,40.6,19.87,182.34,2806.94,
,,41.4,14.26,219.57,4147.23,
,,49.85,16.42,218.57,3335.79,
,,54.86,20.86,202.89,5787.25,
,,56.43,19.11,228.25,3158.73,
,,42.14,14.78,176.94,4132.93,
,,52.98,20.44,192.36,6279.97,
,,53.08,20.07,209.15,4071.72,
,,58.84,16.18,224.64,3059.13,
,,43.23,16.73,226.06,2845.09,
,,36.95,17.05,207.47,4510.9,
,,36.41,17.65,210.23,2755.67,
,,45.1,16.69,177.08,3260.94,
,,43.47,20.66,225.56,3743.63,
,,44.6,16.66,205.27,4560.4,
,,39.23,15.37,185.18,5608.6,
,,35.73,16.74,200.13,2739.53,
,,44.87,17.65,222.15,5823.25,
,,46.84,15.21,197.76,3747.19,
,,55.31,18.45,184.5,6080.5,
,,32.11,14.32,201.23,4627.57,
,,32.72,15.37,219.38,4667.5,
,,53.86,16.19,218.9,5757.98,
,,39.9,14.68,222.72,2798.46,
,,47.36,19.67,200.38,6111.69,
,,59.41,15.64,189.54,3574.09,
,,44.35,15.83,195.95,6237.57,
,,53.2,20.98,222.48,5358.33,
,,58.95,17.33,222.49,4622.96,
,,37.93,17.31,225.94,5184.33,
,,51.53,16,204.33,3051.35,
,,51.21,18.78,192.74,5318.2,
,,35.47,17.64,184.82,4834.2,
,,53.91,15.84,220.19,6053.97,
,,40.48,16.76,191.49,3531.48,
,,37.31,15.54,211.39,4330.02,
,,33.75,14.92,185.44,2715.3,
,,48.02,17.28,199.26,5888.89,
,,41.59,17.83,225.45,5058.69,
,,45.99,16.03,179.64,5242.76,
,,57.11,16.34,204.21,4582.78,
,,46.46,19.68,218.92,3818.56,
,,43.19,15.3,181.46,6243.4,
,,59.02,14.24,201.35,5615.3,
,,58.94,13.24,223.77,3540.08,
,,50.01,14.7,205.48,3301.77,
,,54.86,21.23,175.59,5462.4,
,,40.4,19.16,196.63,3155.46,
,,54.11,14.32,192.31,5980.9,
,,58.96,13.96,216.96,3245.51,
,,54.5,18.57,188.8,2866.73,
,,53.94,14.11,213.28,3334.07,
,,48.91,14.96,203.38,4708.98,
,,47.7,16.49,186.22,4978.9,
,,48.36,16.15,214.77,4580.77,
,,40.42,13.32,226.4,5293.35,
,,38.1,16.17,227.84,5920.35,
,,33.61,13.32,192.14,2946.68,
,,40.16,21.41,217.94,6166.8,
,,38.29,19.65,177.44,4288.17,
,,45.7,16.57,204.13,5365.64,
,,55.38,14.43,228.76,3005.76,
,,37.75,21.16,197.95,6111.61,
,,51.15,18.77,191.02,3200.39,
,,50.4,13.26,225.78,5058.34,
,,49.36,20,197.09,3269.09,
,,53.08,13.36,197.68,3828.06,
,,44.78,20.9,228.22,5110.55,
,,57.79,17.37,177.24,3654.65,
,,55.8,20.81,190.76,4506.2,
,,55.78,16.99,220.59,5622.03,
,,40.88,18.13,185.03,4009.97,
,,58.34,14.86,224.27,5809.29,
,,53.68,13.53,216.05,4437.03,
,,49.31,20.89,197.4,4044.51,
,,56.01,13.14,192.53,5450.31,
,,53.93,18.01,182.91,2705.02,
